referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl,originalBrand,originalProductName,sourceUrl
2321," cross-action)""",de-wecker-forceps-mosquito-straight-2321,ophthalmology-surgical,active,,"""De Wecker Forceps “Mosquito”(straight","""De Wecker Forceps “Mosquito”(straight", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; De Wecker Forceps “Mosquito”; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
18158," serrated jaws)""",colin-forceps-cross-action-18158,ophthalmology-surgical,active,,"""Colin Forceps(cross-action","""Colin Forceps(cross-action", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; Colin Forceps; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
Moria Surgical, medium size,forceps-straight-moria-surgical,ophthalmology-surgical,active,,"""Forceps(straight","""Forceps(straight", Iris dilator, Iris dilator, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,"""Reusable Instruments; Forceps; Other forceps; Speculum; Capsulorhexis forceps; Bonn forceps; Hook",MORIA,PINCES,Other forceps > Forceps
6031BIS," Swiss model(1.5-mm concave jaws)""",cilia-forceps-6031bis,ophthalmology-surgical,active,,"""Cilia Forceps","""Cilia Forceps", Spatula, Spatula, Retractor; Cannula, Retractor; Cannula,"""Reusable Instruments; Forceps; Other forceps; Cilia Forceps",MORIA,PINCES," Swiss model"""
13245," angled)""",mac-pherson-moria-forceps-0-2-mm-teeth-with-platfo,ophthalmology-surgical,active,,"""Mac Pherson-Moria Forceps(0.2-mm teeth with platforms","""Mac Pherson-Moria Forceps(0.2-mm teeth with platforms", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Bonn forceps; Mac Pherson-Moria Forceps; Speculum; Capsulorhexis forceps; Other forceps; Hook"
7850C," straight jaws)""",moria-forceps-3-mm-platforms-7850c,ophthalmology-surgical,active,,"""Moria Forceps(3-mm platforms","""Moria Forceps(3-mm platforms", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; Moria Forceps; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
2221,MORIA,barraquer-forceps-straight-with-oblique-teeth-2221,ophthalmology-surgical,active,,Barraquer Forceps(straight with oblique teeth),Barraquer Forceps(straight with oblique teeth), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/barraquer-forceps-2,https://www.moria-surgical.com/product/barraquer-forceps-2, Spatula,MORIA,PINCES, Manipulator
20021,MORIA,y-stroma-descemetic-dissector-for-dmek-20021,ophthalmology-surgical,active,,"""""""Y"""" Stroma-Descemetic Dissector(for DMEK)""","""""""Y"""" Stroma-Descemetic Dissector(for DMEK)""", Manipulator, Manipulator, Iris dilator, Iris dilator, Iris dilator,MORIA,MARQUEURS, Spatula
20000,MORIA,crozafon-forceps-1-8-mm-1-8-mm-incision-20000,ophthalmology-surgical,active,,Crozafon Forceps - 1.8 mm(1.8-mm incision),Crozafon Forceps - 1.8 mm(1.8-mm incision), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/crozafon-forceps-2,https://www.moria-surgical.com/product/crozafon-forceps-2, Spatula,MORIA,PINCES, Manipulator
18225,MORIA,fechtner-forceps-fine-tying-platforms-18225,ophthalmology-surgical,active,,Fechtner Forceps(fine tying platforms),Fechtner Forceps(fine tying platforms), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/fechtner-forceps,https://www.moria-surgical.com/product/fechtner-forceps, Spatula,MORIA,PINCES, Manipulator
19074,MORIA,iol-explantation-forceps-7-mm-serrated-jaws-19074,ophthalmology-surgical,active,,IOL Explantation Forceps(7-mm serrated jaws),IOL Explantation Forceps(7-mm serrated jaws), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/iol-explantation-forceps,https://www.moria-surgical.com/product/iol-explantation-forceps, Spatula,MORIA,PINCES, Manipulator
MC40,MORIA,dumont-forceps-straight-mc40,ophthalmology-surgical,active,,Dumont Forceps(straight),Dumont Forceps(straight), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/dumont-forceps,https://www.moria-surgical.com/product/dumont-forceps, Spatula,MORIA,PINCES, Manipulator
MC40B,MORIA,dumont-forceps-curved-mc40b,ophthalmology-surgical,active,,Dumont Forceps(curved),Dumont Forceps(curved), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/dumont-forceps-2,https://www.moria-surgical.com/product/dumont-forceps-2, Spatula,MORIA,PINCES, Manipulator
19079," cross-action)""",hachet-capsulorhexis-forceps-2-2-mm-incision-19079,ophthalmology-surgical,active,,"""Hachet Capsulorhexis Forceps(2.2-mm incision","""Hachet Capsulorhexis Forceps(2.2-mm incision", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Capsulorhexis forceps; Hachet Capsulorhexis Forceps; Speculum; Bonn forceps; Other forceps; Hook"
19082,MORIA,de-laage-forceps-curved-19082,ophthalmology-surgical,active,,De Laage Forceps(curved),De Laage Forceps(curved), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/de-laage-forceps,https://www.moria-surgical.com/product/de-laage-forceps, Spatula,MORIA,PINCES, Manipulator
20001," 2.2-mm incision)""",crozafon-micro-pre-chopper-cross-action-20001,ophthalmology-surgical,active,,"""Crozafon Micro Pre-Chopper(cross-action","""Crozafon Micro Pre-Chopper(cross-action", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; Crozafon Micro Pre-Chopper; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
6223," 0.5-mm oblique teeth)""",de-saint-martin-barraquer-forceps-5-mm-tying-platf,ophthalmology-surgical,active,,"""De Saint Martin-Barraquer Forceps(5-mm tying platforms","""De Saint Martin-Barraquer Forceps(5-mm tying platforms", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; De Saint Martin-Barraquer Forceps; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
20003,MORIA,ogawa-forceps-for-dsaek-graft-insertion-20003,ophthalmology-surgical,active,,Ogawa Forceps(for DSAEK graft insertion),Ogawa Forceps(for DSAEK graft insertion), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/ogawa-forceps,https://www.moria-surgical.com/product/ogawa-forceps, Spatula,MORIA,PINCES, Manipulator
20004," distal control)""",20g-busin-forceps-20g-20004,ophthalmology-surgical,active,,"""20G Busin Forceps(20G","""20G Busin Forceps(20G", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; 20G Busin Forceps; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
9980," ultra-thin tip)""",micro-surgery-forceps-straight-9980,ophthalmology-surgical,active,,"""Micro-Surgery Forceps(straight","""Micro-Surgery Forceps(straight", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,PINCES,"""Reusable Instruments; Forceps; Other forceps; Micro-Surgery Forceps; Speculum; Capsulorhexis forceps; Bonn forceps; Hook"
9983,MORIA,micro-surgery-forceps-straight-9983,ophthalmology-surgical,active,,Micro-Surgery Forceps(straight),Micro-Surgery Forceps(straight), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/moria-microsurgery-forceps-2,https://www.moria-surgical.com/product/moria-microsurgery-forceps-2, Spatula,MORIA,PINCES, Manipulator
9987,MORIA,micro-surgery-forceps-curved-9987,ophthalmology-surgical,active,,Micro-Surgery Forceps(curved),Micro-Surgery Forceps(curved), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/moria-microsurgery-forceps-3,https://www.moria-surgical.com/product/moria-microsurgery-forceps-3, Spatula,MORIA,PINCES, Manipulator
