referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl,originalBrand,originalProductName,sourceUrl
13263,MORIA,gills-aron-rosa-scissors-angled-pointed-blades-132,ophthalmology-surgical,active,,Gills-Aron-Rosa Scissors(Angled pointed blades),Gills-Aron-Rosa Scissors(Angled pointed blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/gills-aron-rosa-scissors,https://www.moria-surgical.com/product/gills-aron-rosa-scissors, Spatula,MORIA,CISEAUX, Manipulator
17000,MORIA,worst-scissors-curved-blades-17000,ophthalmology-surgical,active,,Worst Scissors(Curved blades),Worst Scissors(Curved blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/worst-scissors,https://www.moria-surgical.com/product/worst-scissors, Spatula,MORIA,CISEAUX, Manipulator
19068,MORIA,haptic-cutter-for-iol-explantation-19068,ophthalmology-surgical,active,,Haptic Cutter(for IOL explantation),Haptic Cutter(for IOL explantation), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/implant-loop-cutter,https://www.moria-surgical.com/product/implant-loop-cutter, Spatula,MORIA,CISEAUX, Manipulator
4878A,MORIA,scissors-curved-blades-4878a,ophthalmology-surgical,active,,Scissors(Curved blades),Scissors(Curved blades), Needle & Irrigation/Aspiration system; Needle-holder; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/scissors-2,https://www.moria-surgical.com/product/scissors-2, Spatula,MORIA,CISEAUX, Manipulator
4251C,MORIA,sevrin-stevens-scissors-for-tenotomy-4251c,ophthalmology-surgical,active,,Sevrin-Stevens Scissors(for tenotomy),Sevrin-Stevens Scissors(for tenotomy), Needle & Irrigation/Aspiration system; Needle-holder; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Micro scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/sevrin-stevens-scissors,https://www.moria-surgical.com/product/sevrin-stevens-scissors, Spatula,MORIA,CISEAUX, Manipulator
11057," slightly blunt blades)""",westcott-hugonnier-scissors-semi-curved-11057,ophthalmology-surgical,active,,"""Westcott-Hugonnier Scissors(Semi-curved","""Westcott-Hugonnier Scissors(Semi-curved", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Westcott-Hugonnier Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
8144A," blunt blades)""",micro-scissors-curved-8144a,ophthalmology-surgical,active,,"""Micro-Scissors(Curved","""Micro-Scissors(Curved", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Ring scissors; Micro-Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
8142A," pointed blades)""",micro-scissors-curved-8142a,ophthalmology-surgical,active,,"""Micro-Scissors(Curved","""Micro-Scissors(Curved", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Ring scissors; Micro-Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
8143A," pointed blades)""",micro-scissors-straight-8143a,ophthalmology-surgical,active,,"""Micro-Scissors(Straight","""Micro-Scissors(Straight", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Ring scissors; Micro-Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
MC26B," pointed blades)""",dowell-scissors-straight-mc26b,ophthalmology-surgical,active,,"""Dowell Scissors(Straight","""Dowell Scissors(Straight", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Dowell Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
MC26B," pointed blades)""",dowell-scissors-straight-mc26b,ophthalmology-surgical,active,,"""Dowell Scissors(Straight","""Dowell Scissors(Straight", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Dowell Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
MC19B,MORIA,wolff-scissors-4-mm-blades-mc19b,ophthalmology-surgical,active,,Wolff Scissors(4-mm blades),Wolff Scissors(4-mm blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/wolff-iris,https://www.moria-surgical.com/product/wolff-iris, Spatula,MORIA,CISEAUX, Manipulator
9600,MORIA,vannas-scissors-straight-pointed-blades-9600,ophthalmology-surgical,active,,Vannas Scissors(Straight pointed blades),Vannas Scissors(Straight pointed blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/vannas-scissors-3,https://www.moria-surgical.com/product/vannas-scissors-3, Spatula,MORIA,CISEAUX, Manipulator
18013," blunt blades)""",stevens-scissors-curved-18013,ophthalmology-surgical,active,,"""Stevens Scissors(Curved","""Stevens Scissors(Curved", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Stevens Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
20007," DMEK)""",mini-busin-spatula-for-dsaek-20007,ophthalmology-surgical,active,,"""Mini Busin Spatula(for DSAEK","""Mini Busin Spatula(for DSAEK","""Reusable Instruments; Hook","""Reusable Instruments; Hook", Spatula, Spatula, Spatula,MORIA,SPATULES, Manipulator
8023B," for keratoplasty)""",katzin-scissors-counter-clockwise-8023b,ophthalmology-surgical,active,,"""Katzin Scissors(Counter-clockwise","""Katzin Scissors(Counter-clockwise", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Katzin Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
20033,MORIA,can-pendular-marker-for-toric-iols-20033,ophthalmology-surgical,active,,Can Pendular Marker(for toric IOLs),Can Pendular Marker(for toric IOLs), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/can-pendular-marker,https://www.moria-surgical.com/product/can-pendular-marker, Spatula,MORIA,MARQUEURS, Manipulator
2456,MORIA,jaeger-eyelid-plate-2456,ophthalmology-surgical,active,,Jaeger eyelid plate,Jaeger eyelid plate, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/jaeger-eyelid-plate,https://www.moria-surgical.com/product/jaeger-eyelid-plate, Spatula,MORIA,PLAQUE A PAUPIERE, Manipulator
3201,MORIA,paufique-knife-for-cornea-3201,ophthalmology-surgical,active,,Paufique Knife(for cornea),Paufique Knife(for cornea), Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Scissors; Ring scissors; Micro scissors; Sets; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/paufique-knife,https://www.moria-surgical.com/product/paufique-knife, Spatula,MORIA,COUTEAUX, Manipulator
MC50,MORIA,vannas-scissors-curved-pointed-blades-mc50,ophthalmology-surgical,active,,Vannas Scissors(Curved pointed blades),Vannas Scissors(Curved pointed blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/vannas-scissors,https://www.moria-surgical.com/product/vannas-scissors, Spatula,MORIA,CISEAUX, Manipulator
MC52,MORIA,vannas-scissors-straight-pointed-blades-mc52,ophthalmology-surgical,active,,Vannas Scissors(Straight pointed blades),Vannas Scissors(Straight pointed blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/vannas-scissors-2,https://www.moria-surgical.com/product/vannas-scissors-2, Spatula,MORIA,CISEAUX, Manipulator
8023A," for keratoplasty)""",katzin-scissors-clockwise-8023a,ophthalmology-surgical,active,,"""Katzin Scissors(Clockwise","""Katzin Scissors(Clockwise", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Katzin Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"
8100,MORIA,vannas-scissors-curved-blunt-blades-8100,ophthalmology-surgical,active,,Vannas Scissors(Curved blunt blades),Vannas Scissors(Curved blunt blades), Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads, Needle & Irrigation/Aspiration system; Needle-holder; Ring scissors; Sets; Others; Single-use Instruments; Microkeratome & Accessories; Consoles & accessories; Handpieces & accessories; Artificial Chambers; Heads,https://www.moria-surgical.com/product/vannas-moria-scissors,https://www.moria-surgical.com/product/vannas-moria-scissors, Spatula,MORIA,CISEAUX, Manipulator
4263," blunt blades)""",westcott-cochet-scissors-straight-4263,ophthalmology-surgical,active,,"""Westcott-Cochet Scissors(Straight","""Westcott-Cochet Scissors(Straight", Retractor; Cannula, Retractor; Cannula," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search"""," Blades & Suction Rings; Other accessories; Complete systems; Keratoplasty; Refractive; Punches & Trephines; Punches; Trephines; Resources center; Notices & brochures; The different types of surgery; Keratoplasty: Overview; Keratoplasty: DSAEK; Keratoplasty: DALK; Glaucoma: angle-closure; Cataract: Instrumentation; Cataract: Phacoemulsification; Cataract: Capsulorhexis; Cataract: Morganian; Oculoplasty : Curette; Oculoplasty : Chalazion; Retinopathy Of Prematurity; Benefits of Modern SBK Microkeratome; Corporate; Presentation; Human Resources; Moria in the World; Quality & Regulatory; CSR; Request a quote0; Search""", Manipulator,MORIA,CISEAUX,"""Reusable Instruments; Scissors; Micro scissors; Westcott-Cochet Scissors; Speculum; Forceps; Capsulorhexis forceps; Bonn forceps; Other forceps; Hook"