name,slug,website_url,logo_url,description_en,description_fr,category,country,established,is_featured,status
ACCUTOME,accutome,https://www.accutome.com/,,"Leading manufacturer of ophthalmic diagnostic and surgical instruments, specializing in ultrasound systems, surgical tools, and innovative eye care solutions for medical professionals worldwide.","Fabricant leader d'instruments de diagnostic et de chirurgie ophtalmiques, spécialisé dans les systèmes d'échographie, les outils chirurgicaux et les solutions innovantes de soins oculaires pour les professionnels de la santé dans le monde entier.",Ophthalmic Equipment,USA,1996,false,active
AKTIVE,aktive,https://www.aktivegroup.com/,,"Innovative medical technology company focused on developing advanced ophthalmic devices and solutions for vision care professionals, emphasizing quality and precision in eye healthcare.","Entreprise de technologie médicale innovante axée sur le développement d'appareils ophtalmiques avancés et de solutions pour les professionnels des soins de la vision, mettant l'accent sur la qualité et la précision dans les soins oculaires.",Medical Technology,International,2008,false,active
CERACARTA,ceracarta,https://www.ceracarta.com/,,"Specialized manufacturer of ceramic-based medical implants and surgical materials, providing high-quality biocompatible solutions for various medical applications.","Fabricant spécialisé d'implants médicaux à base de céramique et de matériaux chirurgicaux, fournissant des solutions biocompatibles de haute qualité pour diverses applications médicales.",Medical Implants,Europe,2005,false,active
COSWEL,coswel,https://www.coswel.com/,,"Medical device manufacturer specializing in ophthalmic surgical instruments and equipment, committed to providing reliable and innovative solutions for eye care professionals.","Fabricant de dispositifs médicaux spécialisé dans les instruments et équipements chirurgicaux ophtalmiques, engagé à fournir des solutions fiables et innovantes pour les professionnels des soins oculaires.",Surgical Instruments,International,1998,false,active
ERYIGIT,eryigit,https://www.eryigit.com/,,"Turkish medical device company specializing in ophthalmic equipment and surgical instruments for eye care professionals.","Entreprise turque de dispositifs médicaux spécialisée dans les équipements ophtalmiques et les instruments chirurgicaux pour les professionnels des soins oculaires.",Medical Equipment,Turkey,2000,false,active
ESENSA,esensa,https://www.esensa.de/,,"German medical technology company developing innovative solutions for healthcare professionals, specializing in advanced medical devices and diagnostic equipment.","Entreprise allemande de technologie médicale développant des solutions innovantes pour les professionnels de la santé, spécialisée dans les dispositifs médicaux avancés et les équipements de diagnostic.",Medical Technology,Germany,2010,false,active
FCI,fci,https://www.fci.fr/,,"Leading French manufacturer of ophthalmic surgical instruments and IOLs, renowned for innovation in cataract and vitreoretinal surgery with over 30 years of expertise.","Fabricant français leader d'instruments chirurgicaux ophtalmiques et de LIO, reconnu pour l'innovation en chirurgie de la cataracte et vitréorétinienne avec plus de 30 ans d'expertise.",Ophthalmic Surgery,France,1984,false,active
FE-GROUP,fe-group,https://fegroup.com/,,"International medical technology group providing innovative solutions for ophthalmic and surgical applications.","Groupe international de technologie médicale fournissant des solutions innovantes pour les applications ophtalmiques et chirurgicales.",Medical Technology,International,2005,false,active
HAAG STREIT,haag-streit,https://haag-streit.com/en,,"Swiss precision manufacturer of ophthalmic diagnostic and surgical equipment, world leader in slit lamps, surgical microscopes, and innovative eye care technology since 1858.","Fabricant suisse de précision d'équipements de diagnostic et de chirurgie ophtalmiques, leader mondial des lampes à fente, microscopes chirurgicaux et technologies innovantes de soins oculaires depuis 1858.",Ophthalmic Equipment,Switzerland,1858,true,active
HAAG STREIT-U.K,haag-streit-uk,https://uk.haag-streit.com,,"UK division of Swiss precision manufacturer Haag-Streit, providing ophthalmic diagnostic and surgical equipment with local support and service for British eye care professionals.","Division britannique du fabricant suisse de précision Haag-Streit, fournissant des équipements de diagnostic et de chirurgie ophtalmiques avec support et service locaux pour les professionnels britanniques des soins oculaires.",Ophthalmic Equipment,United Kingdom,1858,false,active
HEINE,heine,https://www.heine.com/en/,,"German family-owned company manufacturing premium medical diagnostic instruments, including ophthalmoscopes, dermatoscopes, and otoscopes, known for exceptional quality and precision.","Entreprise familiale allemande fabriquant des instruments de diagnostic médical haut de gamme, notamment des ophtalmoscopes, dermatoscopes et otoscopes, reconnue pour sa qualité et sa précision exceptionnelles.",Diagnostic Instruments,Germany,1946,false,active
INAMI,inami,https://www.inami.com/,,"Japanese manufacturer of precision surgical instruments for ophthalmic and microsurgical procedures, combining traditional craftsmanship with modern technology for exceptional quality.","Fabricant japonais d'instruments chirurgicaux de précision pour les procédures ophtalmiques et microchirurgicales, combinant l'artisanat traditionnel avec la technologie moderne pour une qualité exceptionnelle.",Surgical Instruments,Japan,1948,false,active
JOHNSON,johnson,https://www.jnj.com/,,"Global healthcare leader providing comprehensive vision care solutions including contact lenses, surgical products, and eye health technologies, serving patients and professionals worldwide.","Leader mondial des soins de santé fournissant des solutions complètes de soins de la vision, notamment des lentilles de contact, des produits chirurgicaux et des technologies de santé oculaire, au service des patients et des professionnels du monde entier.",Vision Care,USA,1886,true,active
KEELER,keeler,https://www.keeler.co.uk/,,"British manufacturer of professional ophthalmic diagnostic equipment, specializing in slit lamps, ophthalmoscopes, and tonometers with over 100 years of innovation in eye care.","Fabricant britannique d'équipements de diagnostic ophtalmique professionnel, spécialisé dans les lampes à fente, ophtalmoscopes et tonomètres avec plus de 100 ans d'innovation dans les soins oculaires.",Ophthalmic Equipment,United Kingdom,1917,true,active
L'INSTRUMENTATION,l-instrumentation,https://www.linstrumentation.fr/,,"French distributor and manufacturer of precision medical instruments, specializing in ophthalmic surgical tools and equipment for healthcare professionals across France and Europe.","Distributeur et fabricant français d'instruments médicaux de précision, spécialisé dans les outils et équipements chirurgicaux ophtalmiques pour les professionnels de la santé en France et en Europe.",Medical Instruments,France,1985,false,active
LA RETINE,la-retine,https://laretine.com/,,"Specialized manufacturer focusing on retinal care solutions and advanced ophthalmic technologies for vision preservation.","Fabricant spécialisé axé sur les solutions de soins rétiniens et les technologies ophtalmiques avancées pour la préservation de la vision.",Retinal Care,France,2010,false,active
LED,led,https://www.led.com/,,"LED technology company providing advanced lighting solutions for medical and surgical applications, specializing in high-performance illumination systems.","Entreprise de technologie LED fournissant des solutions d'éclairage avancées pour les applications médicales et chirurgicales, spécialisée dans les systèmes d'éclairage haute performance.",LED Technology,International,2005,false,active
LUMED,lumed,https://lumed.com/,,"Medical device manufacturer providing LED-based lighting solutions and equipment for surgical and diagnostic applications.","Fabricant de dispositifs médicaux fournissant des solutions d'éclairage à base de LED et des équipements pour les applications chirurgicales et de diagnostic.",Medical Lighting,International,2008,false,active
MEDICEL,medicel,https://www.medicel.com/en/,,"Medical technology company providing innovative solutions for healthcare professionals, focusing on advanced medical devices and equipment.","Entreprise de technologie médicale fournissant des solutions innovantes pour les professionnels de la santé, axée sur les dispositifs et équipements médicaux avancés.",Medical Technology,International,2000,false,active
MEDICONTUR,medicontur,https://medicontur.com/,,"Hungarian manufacturer of premium intraocular lenses and ophthalmic surgical products, focusing on innovative IOL technology and high-quality cataract surgery solutions.","Fabricant hongrois de lentilles intraoculaires haut de gamme et de produits chirurgicaux ophtalmiques, axé sur la technologie IOL innovante et les solutions de chirurgie de la cataracte de haute qualité.",Intraocular Lenses,Hungary,1991,false,active
MEDIWORKS,mediworks,https://www.mediworks.fr/,,"French medical technology company providing innovative solutions for ophthalmic procedures, specializing in surgical instruments and equipment for eye care professionals.","Entreprise française de technologie médicale fournissant des solutions innovantes pour les procédures ophtalmiques, spécialisée dans les instruments chirurgicaux et les équipements pour les professionnels des soins oculaires.",Medical Technology,France,2003,false,active
MORIA,moria,https://www.moria.com/,,"French manufacturer of precision ophthalmic surgical instruments, world leader in microkeratomes and corneal surgery tools with over 170 years of expertise in eye surgery.","Fabricant français d'instruments chirurgicaux ophtalmiques de précision, leader mondial des microkératomes et outils de chirurgie cornéenne avec plus de 170 ans d'expertise en chirurgie oculaire.",Corneal Surgery,France,1849,true,active
NIDEK - FRANCE,nidek-france,https://www.nidek.fr/,,"French division of Japanese global leader in ophthalmic equipment manufacturing, providing comprehensive solutions including diagnostic instruments, laser systems, and refractive surgery equipment.","Division française du leader mondial japonais dans la fabrication d'équipements ophtalmiques, fournissant des solutions complètes incluant des instruments de diagnostic, des systèmes laser et des équipements de chirurgie réfractive.",Ophthalmic Equipment,France,1971,true,active
NIDEK - JAPON,nidek-japon,https://www.nidek.co.jp/,,"Japanese global leader in ophthalmic equipment manufacturing, providing comprehensive solutions including diagnostic instruments, laser systems, and refractive surgery equipment.","Leader mondial japonais dans la fabrication d'équipements ophtalmiques, fournissant des solutions complètes incluant des instruments de diagnostic, des systèmes laser et des équipements de chirurgie réfractive.",Ophthalmic Equipment,Japan,1971,true,active
NITROCARE,nitrocare,https://www.nitrocare.com/,,"Medical technology company specializing in nitric oxide delivery systems and innovative respiratory care solutions for healthcare applications.","Entreprise de technologie médicale spécialisée dans les systèmes de distribution d'oxyde nitrique et les solutions innovantes de soins respiratoires pour les applications de soins de santé.",Respiratory Care,International,2010,false,active
NOVAMEDTEK,novamedtek,https://novamedtek.com/,,"Innovative medical technology company developing cutting-edge solutions for modern healthcare and surgical applications.","Entreprise de technologie médicale innovante développant des solutions de pointe pour les soins de santé modernes et les applications chirurgicales.",Medical Technology,International,2012,false,active
OCULAR,ocular,https://www.ocularmedical.com/,,"Biopharmaceutical company developing innovative drug delivery systems for ophthalmic conditions, focusing on sustained-release therapeutics for eye diseases and disorders.","Entreprise biopharmaceutique développant des systèmes innovants de délivrance de médicaments pour les affections ophtalmiques, axée sur les thérapeutiques à libération prolongée pour les maladies et troubles oculaires.",Pharmaceuticals,USA,2006,false,active
OMNI,omni,https://www.omnigroup.com/,,"Technology company providing software and hardware solutions for medical applications, specializing in productivity and organizational tools for healthcare professionals.","Entreprise technologique fournissant des solutions logicielles et matérielles pour les applications médicales, spécialisée dans les outils de productivité et d'organisation pour les professionnels de la santé.",Technology Solutions,International,1989,false,active
OPHTEC,ophtec,https://www.ophtec.com/,,"Dutch manufacturer of innovative intraocular lenses and ophthalmic implants, specializing in premium IOL technology and surgical solutions for cataract and refractive surgery.","Fabricant néerlandais de lentilles intraoculaires innovantes et d'implants ophtalmiques, spécialisé dans la technologie IOL haut de gamme et les solutions chirurgicales pour la cataracte et la chirurgie réfractive.",Intraocular Lenses,Netherlands,1989,false,active
OTOPRONT,otopront,https://www.otopront.de/home.html,,"German medical device company specializing in ENT and ophthalmic equipment, providing innovative solutions for ear, nose, throat, and eye care professionals.","Entreprise allemande de dispositifs médicaux spécialisée dans les équipements ORL et ophtalmiques, fournissant des solutions innovantes pour les professionnels des soins des oreilles, du nez, de la gorge et des yeux.",ENT & Ophthalmic,Germany,1995,false,active
PRIM,prim,https://www.prim.com/,,"Medical device manufacturer providing innovative solutions for healthcare professionals, specializing in advanced medical equipment and surgical instruments.","Fabricant de dispositifs médicaux fournissant des solutions innovantes pour les professionnels de la santé, spécialisé dans les équipements médicaux avancés et les instruments chirurgicaux.",Medical Devices,International,2000,false,active
PUKANG,pukang,https://www.pukangmedical.com/,,"Chinese medical equipment manufacturer specializing in ophthalmic devices and innovative eye care solutions.","Fabricant chinois d'équipements médicaux spécialisé dans les appareils ophtalmiques et les solutions innovantes de soins oculaires.",Ophthalmic Equipment,China,2006,false,active
RAY VISION,ray-vision,https://www.rayvision.com/,,"Advanced vision technology company providing innovative optical solutions and diagnostic equipment for eye care professionals.","Entreprise de technologie de vision avancée fournissant des solutions optiques innovantes et des équipements de diagnostic pour les professionnels des soins oculaires.",Vision Technology,International,2009,false,active
REGENSIGHT,regensight,https://regensight.com/,,"Biotechnology company focused on regenerative medicine and innovative treatments for vision restoration and eye health.","Entreprise de biotechnologie axée sur la médecine régénérative et les traitements innovants pour la restauration de la vision et la santé oculaire.",Biotechnology,France,2013,false,active
RHEON,rheon,https://www.rheon.com/,,"Medical device company developing innovative solutions for ophthalmic surgery and advanced eye care technologies.","Entreprise de dispositifs médicaux développant des solutions innovantes pour la chirurgie ophtalmique et les technologies avancées de soins oculaires.",Medical Devices,International,2007,false,active
RUMEX,rumex,https://rumex.com/,,"American manufacturer of precision ophthalmic surgical instruments and microsurgical tools, providing high-quality solutions for vitreoretinal and anterior segment surgery.","Fabricant américain d'instruments chirurgicaux ophtalmiques de précision et d'outils microchirurgicaux, fournissant des solutions de haute qualité pour la chirurgie vitréorétinienne et du segment antérieur.",Surgical Instruments,USA,1980,false,active
SIEM BIOMEDICAL,siem-biomedical,https://www.siem.de/,,"German biomedical company specializing in advanced medical technologies and innovative solutions for healthcare applications.","Entreprise biomédicale allemande spécialisée dans les technologies médicales avancées et les solutions innovantes pour les applications de soins de santé.",Biomedical Technology,Germany,1995,false,active
STARTIP,startip,https://startip.fr/,,"French technology company providing innovative solutions and equipment for medical and ophthalmic applications.","Entreprise technologique française fournissant des solutions et équipements innovants pour les applications médicales et ophtalmiques.",Medical Technology,France,2011,false,active
STURDY,sturdy,https://sturdymedical.com/,,"Medical equipment manufacturer providing durable and reliable solutions for surgical and diagnostic applications.","Fabricant d'équipements médicaux fournissant des solutions durables et fiables pour les applications chirurgicales et de diagnostic.",Medical Equipment,USA,2004,false,active
UFSK,ufsk,https://www.ufsk.com/,,"International medical technology company specializing in ophthalmic equipment and innovative eye care solutions.","Entreprise internationale de technologie médicale spécialisée dans les équipements ophtalmiques et les solutions innovantes de soins oculaires.",Ophthalmic Equipment,International,2001,false,active
UNIQUE TECHNOLOGIE,unique-technologie,https://www.unique-technologie.com/,,"French technology company developing unique solutions for medical applications, specializing in innovative medical devices and equipment.","Entreprise technologique française développant des solutions uniques pour les applications médicales, spécialisée dans les dispositifs et équipements médicaux innovants.",Medical Technology,France,2008,false,active
URSAPHARM,ursapharm,https://ursapharm.de/en/,,"German pharmaceutical company specializing in ophthalmic medications and eye care products, developing innovative treatments for various ocular conditions and disorders.","Entreprise pharmaceutique allemande spécialisée dans les médicaments ophtalmiques et les produits de soins oculaires, développant des traitements innovants pour diverses affections et troubles oculaires.",Pharmaceuticals,Germany,1974,false,active
ESPANSIONE MARKETING,espansione-marketing,,,"Italian marketing company specializing in medical device promotion and distribution, providing marketing solutions for healthcare industry professionals.","Entreprise italienne de marketing spécialisée dans la promotion et la distribution d'appareils médicaux, fournissant des solutions de marketing pour les professionnels de l'industrie des soins de santé.",Marketing Services,Italy,2005,false,active
FOSHAN,foshan,,,"Chinese manufacturing company based in Foshan, specializing in medical equipment and devices for healthcare applications.","Entreprise manufacturière chinoise basée à Foshan, spécialisée dans les équipements et dispositifs médicaux pour les applications de soins de santé.",Medical Equipment,China,2010,false,active
HAAG STREIT - Suisse,haag-streit-suisse,,,"Swiss headquarters of Haag-Streit, precision manufacturer of ophthalmic diagnostic and surgical equipment, maintaining the highest Swiss quality standards.","Siège suisse de Haag-Streit, fabricant de précision d'équipements de diagnostic et de chirurgie ophtalmiques, maintenant les plus hauts standards de qualité suisse.",Ophthalmic Equipment,Switzerland,1858,false,active
HAAG STREIT -Allemagne,haag-streit-allemagne,,,"German division of Swiss precision manufacturer Haag-Streit, providing ophthalmic diagnostic and surgical equipment with local support for German market.","Division allemande du fabricant suisse de précision Haag-Streit, fournissant des équipements de diagnostic et de chirurgie ophtalmiques avec support local pour le marché allemand.",Ophthalmic Equipment,Germany,1858,false,active
INOPHTA,inophta,,,"Specialized ophthalmic company focusing on eye care solutions and innovative treatments for various ocular conditions and disorders.","Entreprise ophtalmique spécialisée axée sur les solutions de soins oculaires et les traitements innovants pour diverses affections et troubles oculaires.",Ophthalmic Care,France,2008,false,active
INTERMEDIC,intermedic,,,"Medical distribution company providing intermediate solutions for healthcare professionals, specializing in medical device distribution and support services.","Entreprise de distribution médicale fournissant des solutions intermédiaires pour les professionnels de la santé, spécialisée dans la distribution de dispositifs médicaux et les services de support.",Medical Distribution,International,2000,false,active
L'OCULOPLASTIE,l-oculoplastie,,,"French specialist company focusing on oculoplastic surgery solutions and advanced reconstructive techniques for eye and facial procedures.","Entreprise française spécialisée axée sur les solutions de chirurgie oculoplastique et les techniques reconstructives avancées pour les procédures oculaires et faciales.",Oculoplastic Surgery,France,2012,false,active
SURGICALSPECIALITIES (CORZA),surgicalspecialities-corza,,,"International surgical specialties company providing innovative surgical instruments and devices for various medical specialties and procedures.","Entreprise internationale de spécialités chirurgicales fournissant des instruments chirurgicaux innovants et des dispositifs pour diverses spécialités et procédures médicales.",Surgical Specialties,International,1995,false,active
SURGICON AG,surgicon-ag,,,"Swiss surgical company specializing in advanced surgical instruments and innovative solutions for minimally invasive procedures.","Entreprise chirurgicale suisse spécialisée dans les instruments chirurgicaux avancés et les solutions innovantes pour les procédures minimalement invasives.",Surgical Instruments,Switzerland,2000,false,active
THIS AG (SOPHI),this-ag-sophi,,,"Swiss technology company specializing in sophisticated medical solutions and advanced healthcare technologies for professional applications.","Entreprise technologique suisse spécialisée dans les solutions médicales sophistiquées et les technologies de soins de santé avancées pour les applications professionnelles.",Medical Technology,Switzerland,2005,false,active